"year","partner","exports_usd","imports_usd","trade_balance_usd","total_trade_usd","imports_mn_usd"
2010,"China",1300780404,1179775779,121004625,2480556183,1179.775779
2011,"China",807314965,1358863803,-551548838,2166178768,1358.863803
2012,"China",1091832887,1783030724,-691197837,2874863611,1783.030724
2013,"China",1938092728,2613188548,-675095820,4551281276,2613.188548
2014,"China",1597024756,2678213964,-1081189208,4275238720,2678.213964
2015,"China",1267061537,2228760931,-961699394,3495822468,2228.760931
2016,"China",1607020048,2007151339,-400131291,3614171387,2007.151339
2017,"China",1447773786,2725557713,-1277783927,4173331499,2725.557713
2018,"China",2245521204,3615217059,-1369695855,5860738263,3615.217059
2019,"China",1914242808,5056741458,-3142498650,6970984266,5056.741458
2020,"China",1295230583,4571524898,-3276294315,5866755481,4571.524898
2021,"China",1940804098,5051445052,-3110640954,6992249150,5051.445052
2022,"China",1983072002,6671800565,-4688728563,8654872567,6671.800565
2023,"China",1817655946,11926799340,-10109143394,13744455286,11926.79934
2010,"Japan",173427329,76813939,96613390,250241268,76.813939
2011,"Japan",48307106,238001803,-189694697,286308909,238.001803
2012,"Japan",106883916,97032030,9851886,203915946,97.03203
2013,"Japan",100392548,117284831,-16892283,217677379,117.284831
2014,"Japan",24521069,165918748,-141397679,190439817,165.918748
2015,"Japan",2685526,248311475,-245625949,250997001,248.311475
2016,"Japan",2414168,156977356,-154563188,159391524,156.977356
2017,"Japan",2081882,197814747,-195732865,199896629,197.814747
2018,"Japan",6696577,850334613,-843638036,857031190,850.334613
2019,"Japan",4472739,449851128,-445378389,454323867,449.851128
2020,"Japan",6599233,249720410,-243121177,256319643,249.72041
2021,"Japan",8274121,246548996,-238274875,254823117,246.548996
2022,"Japan",47193933,240329319,-193135386,287523252,240.329319
2023,"Japan",21015416,314924200,-293908784,335939616,314.9242
2010,"S. Korea",21978514,1438539311,-1416560797,1460517825,1438.539311
2011,"S. Korea",39822366,1718712047,-1678889681,1758534413,1718.712047
2012,"S. Korea",42361647,1766429732,-1724068085,1808791379,1766.429732
2013,"S. Korea",53094894,1967961018,-1914866124,2021055912,1967.961018
2014,"S. Korea",27360791,2032665762,-2005304971,2060026553,2032.665762
2015,"S. Korea",16137750,1283959435,-1267821685,1300097185,1283.959435
2016,"S. Korea",20777199,927612115,-906834916,948389314,927.612115
2017,"S. Korea",46669134,1210153018,-1163483884,1256822152,1210.153018
2018,"S. Korea",36034977,2052853968,-2016818991,2088888945,2052.853968
2019,"S. Korea",20226887,2545158714,-2524931827,2565385601,2545.158714
2020,"S. Korea",30403878,2244922292,-2214518414,2275326170,2244.922292
2021,"S. Korea",30560717,1831769681,-1801208964,1862330398,1831.769681
2022,"S. Korea",31543014,2195187484,-2163644470,2226730498,2195.187484
2023,"S. Korea",99265954,2394985434,-2295719480,2494251388,2394.985434
