year,trade_pct_gdp,mfg_va_pct_gdp,gdp_usd,eci,trade_openness_idx
2010,49.2689977994484,10.1811359695823,49765676402.4495,-0.65,100.0
2011,49.6542884929351,10.2450890019411,60178909297.208,,100.78201447298571
2012,44.2393191333204,10.5353690643513,67517349212.0609,-0.7,89.79139237497478
2013,42.3779149727359,11.6145232608903,73180037914.9104,,86.01334889180626
2014,36.3570546649043,12.6883574975987,80845385809.4529,-0.6,73.79296573658199
2015,30.7561914307089,12.8094689336525,86196264755.3105,,62.42503968906231
2016,29.1922970388042,13.6540206285506,86138288644.171,-0.55,59.25084402494387
2017,42.5595081895217,14.0025699748323,69703222282.7278,-0.48,86.38192390834097
2018,64.1381394985773,16.1531607468822,58695899092.1083,-0.4,130.17950915026603
2019,64.9639227632407,17.547885761433,67293639798.3996,-0.35,131.85557990783408
2020,56.0515308349971,19.1278574156415,66443265418.3086,-0.42,113.76633042782258
2021,57.4589716973222,19.470717302152,77340060003.0347,-0.3,116.62297644293768
2022,62.8412525378517,19.0715817765466,90095926567.4359,-0.18,127.54725150621036
2023,66.1051443040339,19.3636989151573,102641879248.764,-0.1,134.17188750848507
2024,60.7274403812997,20.1938734830319,114965293466.611,,123.25690209590499
2025,,,,,
