year,good_type,post_reform,export_usd,total_exports_usd,share
2010,Capital/Machines,FALSE,670376621,6476670085,0.10350637166969422
2010,Consumer/Other,FALSE,26641151,6476670085,0.004113402512457912
2010,Gold/Precious Metals,FALSE,296471405,6476670085,0.04577528283965386
2010,Intermediate Input,FALSE,2965230519,6476670085,0.45783257138069894
2010,Other Primary,FALSE,729538763,6476670085,0.11264102593238698
2010,Textiles,FALSE,1788411626,6476670085,0.2761313456651081
2011,Capital/Machines,FALSE,861665052,6902419838,0.12483521318947623
2011,Consumer/Other,FALSE,33755158,6902419838,0.0048903368372591885
2011,Gold/Precious Metals,FALSE,205174640,6902419838,0.0297250304698142
2011,Intermediate Input,FALSE,3254886071,6902419838,0.47155724331354415
2011,Other Primary,FALSE,932691967,6902419838,0.13512536022008345
2011,Textiles,FALSE,1614246950,6902419838,0.23386681596982278
2012,Capital/Machines,FALSE,867790552,5795620543,0.14973212023829352
2012,Consumer/Other,FALSE,38377285,5795620543,0.006621773236405619
2012,Gold/Precious Metals,FALSE,696244774.0000001,5795620543,0.12013291222817038
2012,Intermediate Input,FALSE,1811535870,5795620543,0.3125697855060557
2012,Other Primary,FALSE,643826797,5795620543,0.11108850074348285
2012,Textiles,FALSE,1737845265,5795620543,0.29985490804759196
2013,Capital/Machines,FALSE,823624095.9999999,8068319225,0.10208124803093668
2013,Consumer/Other,FALSE,36644733,8068319225,0.004541805049861547
2013,Gold/Precious Metals,FALSE,1809188265,8068319225,0.22423359990444602
2013,Intermediate Input,FALSE,2823698156,8068319225,0.3499735294620795
2013,Other Primary,FALSE,786300994,8068319225,0.09745536487495635
2013,Textiles,FALSE,1788862981,8068319225,0.2217144526777199
2014,Capital/Machines,FALSE,580517739,6540164391,0.08876194913370336
2014,Consumer/Other,FALSE,35363357,6540164391,0.0054071052172119626
2014,Gold/Precious Metals,FALSE,1446776762,6540164391,0.22121412788811962
2014,Intermediate Input,FALSE,2486540059,6540164391,0.38019534530687915
2014,Other Primary,FALSE,735645642,6540164391,0.11248121576459622
2014,Textiles,FALSE,1255320832,6540164391,0.1919402566894897
2015,Capital/Machines,FALSE,222716320,6297967152,0.03536320762315719
2015,Consumer/Other,FALSE,39496548,6297967152,0.006271316926042932
2015,Gold/Precious Metals,FALSE,1921188603,6297967152,0.30504900337403346
2015,Intermediate Input,FALSE,2078925707,6297967152,0.33009472053848526
2015,Other Primary,FALSE,623719377,6297967152,0.09903503177242358
2015,Textiles,FALSE,1411920597,6297967152,0.22418671976585755
2016,Capital/Machines,FALSE,241176952,7681969595,0.03139519741876823
2016,Consumer/Other,FALSE,41975255,7681969595,0.0054641266775282
