year,avg_intermediate_share,total_triad_imports_usd,lpi_score,backward_gvc_proxy,post_reform
2010,0.8363335152886292,2695129029,2.79,0.8363335152886292,FALSE
2011,0.8435484661109821,3315577653,NA,0.8435484661109821,FALSE
2012,0.8285169604761939,3646492486,2.46,0.8285169604761939,FALSE
2013,0.8183199526474095,4698434397,NA,0.8183199526474095,FALSE
2014,0.8200053509859264,4876798474,2.39477,0.8200053509859264,FALSE
2015,0.8157326101456954,3761031841,NA,0.8157326101456954,FALSE
2016,0.8061744487145416,3091740810,2.404525,0.8061744487145416,FALSE
2017,0.8044431619540631,4133525478,NA,0.8044431619540631,TRUE
2018,0.8259390773446864,6518405640,2.58,0.8259390773446864,TRUE
2019,0.8097063964531542,8051751300,NA,0.8097063964531542,TRUE
2020,0.8054298816801345,7066167600,NA,0.8054298816801345,TRUE
2021,0.7961454606036638,7129763729,NA,0.7961454606036638,TRUE
2022,0.7919608274685525,9107317368,2.6,0.7919608274685525,TRUE
2023,0.7792778342359081,14636708974,NA,0.7792778342359081,TRUE
