year,exporter,total_imports_usd,intermediate_share,intermediate_usd,capital_usd,primary_usd,capital_share,post_reform,partner_label
2010,CHN,1179775779,0.75,884831834.25,486657508.83750004,294943944.75,0.41250000000000003,FALSE,China
2011,CHN,1358863803,0.75,1019147852.25,560531318.7375001,339715950.75,0.41250000000000003,FALSE,China
2012,CHN,1783030724,0.75,1337273043,735500173.6500001,445757681,0.41250000000000003,FALSE,China
2013,CHN,2613188548,0.75,1959891411,1077940276.0500002,653297137,0.4125000000000001,FALSE,China
2014,CHN,2678213964,0.75,2008660473,1104763260.15,669553491,0.41250000000000003,FALSE,China
2015,CHN,2228760931,0.75,1671570698.25,919363884.0375,557190232.75,0.41250000000000003,FALSE,China
2016,CHN,2007151339,0.75,1505363504.25,827949927.3375001,501787834.75,0.41250000000000003,FALSE,China
2017,CHN,2725557713,0.75,2044168284.75,1124292556.6125002,681389428.25,0.4125000000000001,TRUE,China
2018,CHN,3615217059,0.75,2711412794.25,1491277036.8375,903804264.75,0.41250000000000003,TRUE,China
2019,CHN,5056741458,0.75,3792556093.5,2085905851.4250002,1264185364.5,0.41250000000000003,TRUE,China
2020,CHN,4571524898,0.75,3428643673.5,1885754020.4250002,1142881224.5,0.41250000000000003,TRUE,China
2021,CHN,5051445052,0.75,3788583789,2083721083.9500003,1262861263,0.41250000000000003,TRUE,China
2022,CHN,6671800565,0.75,5003850423.75,2752117733.0625,1667950141.25,0.4125,TRUE,China
2023,CHN,11926799340,0.75,8945099505,4919804727.75,2981699835,0.4125,TRUE,China
2010,JPN,76813939,0.97,74509520.83,40980236.4565,2304418.1700000023,0.5335,FALSE,Japan
2011,JPN,238001803,0.97,230861748.91,126973961.90050001,7140054.090000006,0.5335000000000001,FALSE,Japan
2012,JPN,97032030,0.97,94121069.1,51766588.005,2910960.9000000027,0.5335,FALSE,Japan
2013,JPN,117284831,0.97,113766286.07,62571457.3385,3518544.930000003,0.5335,FALSE,Japan
2014,JPN,165918748,0.97,160941185.56,88517652.05800001,4977562.440000004,0.5335000000000001,FALSE,Japan
2015,JPN,248311475,0.97,240862130.75,132474171.91250001,7449344.2500000065,0.5335000000000001,FALSE,Japan
2016,JPN,156977356,0.97,152268035.32,83747419.426,4709320.680000004,0.5335,FALSE,Japan
2017,JPN,197814747,0.97,191880304.59,105534167.52450001,5934442.410000005,0.5335000000000001,TRUE,Japan
2018,JPN,850334613,0.97,824824574.61,453653516.03550005,25510038.390000023,0.5335000000000001,TRUE,Japan
2019,JPN,449851128,0.97,436355594.15999997,239995576.788,13495533.840000013,0.5335,TRUE,Japan
2020,JPN,249720410,0.97,242228797.7,133225838.735,7491612.300000006,0.5335,TRUE,Japan
2021,JPN,246548996,0.97,239152526.12,131533889.36600001,7396469.880000006,0.5335000000000001,TRUE,Japan
2022,JPN,240329319,0.97,233119439.43,128215691.68650001,7209879.570000007,0.5335000000000001,TRUE,Japan
2023,JPN,314924200,0.97,305476474,168012060.70000002,9447726.00000001,0.5335000000000001,TRUE,Japan
2010,KOR,1438539311,0.9,1294685379.9,712076958.945,143853931.09999996,0.49500000000000005,FALSE,S. Korea
2011,KOR,1718712047,0.9,1546840842.3,850762463.265,171871204.69999996,0.495,FALSE,S. Korea
2012,KOR,1766429732,0.9,1589786758.8,874382717.34,176642973.19999996,0.495,FALSE,S. Korea
2013,KOR,1967961018,0.9,1771164916.2,974140703.9100001,196796101.79999995,0.49500000000000005,FALSE,S. Korea
2014,KOR,2032665762,0.9,1829399185.8,1006169552.19,203266576.19999996,0.49500000000000005,FALSE,S. Korea
2015,KOR,1283959435,0.9,1155563491.5,635559920.325,128395943.49999997,0.49500000000000005,FALSE,S. Korea
2016,KOR,927612115,0.9,834850903.5,459167996.925,92761211.49999999,0.495,FALSE,S. Korea
2017,KOR,1210153018,0.9,1089137716.2,599025743.9100001,121015301.79999997,0.49500000000000005,TRUE,S. Korea
2018,KOR,2052853968,0.9,1847568571.2,1016162714.1600001,205285396.79999995,0.49500000000000005,TRUE,S. Korea
2019,KOR,2545158714,0.9,2290642842.6,1259853563.43,254515871.39999995,0.49500000000000005,TRUE,S. Korea
2020,KOR,2244922292,0.9,2020430062.8,1111236534.54,224492229.19999996,0.495,TRUE,S. Korea
2021,KOR,1831769681,0.9,1648592712.9,906725992.0950001,183176968.09999996,0.4950000000000001,TRUE,S. Korea
2022,KOR,2195187484,0.9,1975668735.6000001,1086617804.5800002,219518748.39999995,0.49500000000000005,TRUE,S. Korea
2023,KOR,2394985434,0.9,2155486890.6,1185517789.8300002,239498543.39999995,0.49500000000000005,TRUE,S. Korea
