country,iso2c,country_code,year,status,lastupdated,manuf_va_gdp,fdi_gdp,gdp_current,gdp_per_capita,lpi_score,tertiary_enrolment,unemployment,region,capital,longitude,latitude,income,lending,doing_business_score,doing_business_rank
China,CN,CHN,2010,,2026-04-08,31.0748956423241,3.93541996731512,6192564874453.29,4629.24551710077,3.49,25.2883066277701,4.53,East Asia & Pacific,Beijing,116.286,40.0495,Upper middle income,IBRD,NA,NA
China,CN,CHN,2011,,2026-04-08,31.5623565182378,3.65069190228423,7671757207851.29,5703.76027973346,NA,26.7875039907406,4.55,East Asia & Pacific,Beijing,116.286,40.0495,Upper middle income,IBRD,NA,NA
China,CN,CHN,2012,,2026-04-08,31.0143036500115,2.78099138181613,8673664713189.24,6405.0574241349,3.52,29.3081906903292,4.58,East Asia & Pacific,Beijing,116.286,40.0495,Upper middle income,IBRD,NA,NA
China,CN,CHN,2013,,2026-04-08,30.1275021518721,2.98598708261986,9743124247267.24,7147.03518622344,NA,32.7191603158803,4.6,East Asia & Pacific,Beijing,116.286,40.0495,Upper middle income,IBRD,NA,NA
China,CN,CHN,2014,,2026-04-08,29.8300397890826,2.51155883670463,10674533168257.4,7781.06597484974,3.531463,43.7110051016854,4.63,East Asia & Pacific,Beijing,116.286,40.0495,Upper middle income,IBRD,NA,NA
China,CN,CHN,2015,,2026-04-08,28.3889960582852,2.14957284731563,11280814787468.9,8175.33285077393,NA,47.1192619330726,4.65,East Asia & Pacific,Beijing,116.286,40.0495,Upper middle income,IBRD,NA,NA
China,CN,CHN,2016,,2026-04-08,27.5237594259275,1.52539470315394,11456024084962,8254.86859320357,3.661104,49.309077375597,4.56,East Asia & Pacific,Beijing,116.286,40.0495,Upper middle income,IBRD,NA,NA
China,CN,CHN,2017,,2026-04-08,27.5998559245177,1.32468971748482,12537559062282.9,8979.67652709856,NA,51.0678812273407,4.47,East Asia & Pacific,Beijing,116.286,40.0495,Upper middle income,IBRD,NA,NA
China,CN,CHN,2018,,2026-04-08,27.34341880328,1.66361992284408,14147765772963.8,10085.6638148819,3.61,53.3987984572814,4.31,East Asia & Pacific,Beijing,116.286,40.0495,Upper middle income,IBRD,NA,NA
China,CN,CHN,2019,,2026-04-08,26.2594662949297,1.28549226847992,14560167101283.4,10342.9009524335,NA,56.6050917923292,4.56,East Asia & Pacific,Beijing,116.286,40.0495,Upper middle income,IBRD,NA,NA
China,CN,CHN,2020,,2026-04-08,25.7441402732098,1.68770756292082,14996414166715.1,10627.4637989619,NA,61.6124675996947,5,East Asia & Pacific,Beijing,116.286,40.0495,Upper middle income,IBRD,NA,NA
China,CN,CHN,2021,,2026-04-08,26.9701216685139,1.8903454142588,18201698719564,12887.4357242941,NA,66.8186077597542,4.55,East Asia & Pacific,Beijing,116.286,40.0495,Upper middle income,IBRD,NA,NA
China,CN,CHN,2022,,2026-04-08,26.4237655920515,1.03841365474349,18316765021690.2,12970.6056414327,3.7,71.5799465086024,4.98,East Asia & Pacific,Beijing,116.286,40.0495,Upper middle income,IBRD,NA,NA
China,CN,CHN,2023,,2026-04-08,25.4991668287269,0.280991103634816,18270356654533.2,12951.1782397043,NA,74.5933014618366,4.67,East Asia & Pacific,Beijing,116.286,40.0495,Upper middle income,IBRD,NA,NA
Kazakhstan,KZ,KAZ,2010,,2026-04-08,11.3213182158369,5.03630628288047,148047348240.643,8793.07589980782,2.83,46.7229330476587,5.77,Europe & Central Asia,Astana,71.4382,51.1879,Upper middle income,IBRD,NA,NA
Kazakhstan,KZ,KAZ,2011,,2026-04-08,11.0865742214899,7.14351039762779,192626464617.071,11287.1464926039,NA,50.4275094921369,5.39,Europe & Central Asia,Astana,71.4382,51.1879,Upper middle income,IBRD,NA,NA
Kazakhstan,KZ,KAZ,2012,,2026-04-08,11.0807990431371,6.56164821145973,207998568865.789,12018.7966527993,2.69,52.1525037230692,5.29,Europe & Central Asia,Astana,71.4382,51.1879,Upper middle income,IBRD,NA,NA
Kazakhstan,KZ,KAZ,2013,,2026-04-08,10.6349738343331,4.23069709209016,236634603409.089,13478.459627612,NA,45.8669276379862,5.2,Europe & Central Asia,Astana,71.4382,51.1879,Upper middle income,IBRD,NA,NA
Kazakhstan,KZ,KAZ,2014,,2026-04-08,10.3182436278483,3.3006311188168,221415613595.469,12427.7094576939,2.69942,51.0877733655657,5.06,Europe & Central Asia,Astana,71.4382,51.1879,Upper middle income,IBRD,NA,NA
Kazakhstan,KZ,KAZ,2015,,2026-04-08,10.2754093827734,3.56737402233377,184388404706.042,10196.1226255982,NA,48.3464575023644,4.93,Europe & Central Asia,Astana,71.4382,51.1879,Upper middle income,IBRD,NA,NA
Kazakhstan,KZ,KAZ,2016,,2026-04-08,11.3301396708405,12.5466202801438,137278320084.171,7475.56688689424,2.751998,46.0492258820674,4.96,Europe & Central Asia,Astana,71.4382,51.1879,Upper middle income,IBRD,NA,NA
Kazakhstan,KZ,KAZ,2017,,2026-04-08,11.2801569362864,2.85205738000704,166805788827.233,8943.08416791984,NA,49.9712092283595,4.9,Europe & Central Asia,Astana,71.4382,51.1879,Upper middle income,IBRD,NA,NA
Kazakhstan,KZ,KAZ,2018,,2026-04-08,11.4286227484553,0.196995426846668,179339977690.485,9472.48527327758,2.81,51.9662639587064,4.85,Europe & Central Asia,Astana,71.4382,51.1879,Upper middle income,IBRD,NA,NA
Kazakhstan,KZ,KAZ,2019,,2026-04-08,11.466364067234,2.05367649290766,181667184854.501,9457.12614657136,NA,57.3421123781351,4.8,Europe & Central Asia,Astana,71.4382,51.1879,Upper middle income,IBRD,NA,NA
Kazakhstan,KZ,KAZ,2020,,2026-04-08,13.0725321801007,4.21199990309163,171082365861.423,8781.50797787648,NA,62.2921373672319,4.89,Europe & Central Asia,Astana,71.4382,51.1879,Upper middle income,IBRD,NA,NA
Kazakhstan,KZ,KAZ,2021,,2026-04-08,13.6087547428034,2.31675874599247,197112255360.612,9983.60103576902,NA,59.3849415869809,5.568,Europe & Central Asia,Astana,71.4382,51.1879,Upper middle income,IBRD,NA,NA
Kazakhstan,KZ,KAZ,2022,,2026-04-08,13.4242966658263,2.25355434978679,225496328925.494,11255.3396437881,2.7,57.2459264222925,4.86,Europe & Central Asia,Astana,71.4382,51.1879,Upper middle income,IBRD,NA,NA
Kazakhstan,KZ,KAZ,2023,,2026-04-08,12.2881884103734,2.18549414987511,261840101059.923,12879.4275257974,NA,54.6563982045582,4.835,Europe & Central Asia,Astana,71.4382,51.1879,Upper middle income,IBRD,NA,NA
"Korea, Rep.",KR,KOR,2010,,2026-04-08,28.0990056835275,0.796207328344812,1192830015737.68,24071.2620526362,3.64,101.673286437988,3.324,East Asia & Pacific,Seoul,126.957,37.5323,High income,Not classified,NA,NA
"Korea, Rep.",KR,KOR,2011,,2026-04-08,29.0005575131874,0.747683727442323,1307103477219.1,26175.2398553363,NA,100.819679260254,2.992,East Asia & Pacific,Seoul,126.957,37.5323,High income,Not classified,NA,NA
