country_code,country,year,indicator_code,indicator,value,source_url
UZB,Uzbekistan,2016,IC.BUS.EASE.DFRN.XQ.DB1719,Global: Ease of doing business score (DB17-20 methodology),62.09399,https://api.worldbank.org/v2/country/UZB/indicator/IC.BUS.EASE.DFRN.XQ.DB1719?format=json&date=2016:2023&per_page=20000&source=1
UZB,Uzbekistan,2017,IC.BUS.EASE.DFRN.XQ.DB1719,Global: Ease of doing business score (DB17-20 methodology),66.61398,https://api.worldbank.org/v2/country/UZB/indicator/IC.BUS.EASE.DFRN.XQ.DB1719?format=json&date=2016:2023&per_page=20000&source=1
UZB,Uzbekistan,2018,IC.BUS.EASE.DFRN.XQ.DB1719,Global: Ease of doing business score (DB17-20 methodology),67.75199,https://api.worldbank.org/v2/country/UZB/indicator/IC.BUS.EASE.DFRN.XQ.DB1719?format=json&date=2016:2023&per_page=20000&source=1
UZB,Uzbekistan,2019,IC.BUS.EASE.DFRN.XQ.DB1719,Global: Ease of doing business score (DB17-20 methodology),69.87898,https://api.worldbank.org/v2/country/UZB/indicator/IC.BUS.EASE.DFRN.XQ.DB1719?format=json&date=2016:2023&per_page=20000&source=1
UZB,Uzbekistan,2016,IC.BUS.EASE.XQ,Rank: Ease of doing business index (1=most business-friendly regulations),,https://api.worldbank.org/v2/country/UZB/indicator/IC.BUS.EASE.XQ?format=json&date=2016:2023&per_page=20000&source=1
UZB,Uzbekistan,2017,IC.BUS.EASE.XQ,Rank: Ease of doing business index (1=most business-friendly regulations),,https://api.worldbank.org/v2/country/UZB/indicator/IC.BUS.EASE.XQ?format=json&date=2016:2023&per_page=20000&source=1
UZB,Uzbekistan,2018,IC.BUS.EASE.XQ,Rank: Ease of doing business index (1=most business-friendly regulations),,https://api.worldbank.org/v2/country/UZB/indicator/IC.BUS.EASE.XQ?format=json&date=2016:2023&per_page=20000&source=1
UZB,Uzbekistan,2019,IC.BUS.EASE.XQ,Rank: Ease of doing business index (1=most business-friendly regulations),69,https://api.worldbank.org/v2/country/UZB/indicator/IC.BUS.EASE.XQ?format=json&date=2016:2023&per_page=20000&source=1
VNM,Vietnam,2016,IC.BUS.EASE.DFRN.XQ.DB1719,Global: Ease of doing business score (DB17-20 methodology),65.28861,https://api.worldbank.org/v2/country/VNM/indicator/IC.BUS.EASE.DFRN.XQ.DB1719?format=json&date=2016:2023&per_page=20000&source=1
VNM,Vietnam,2017,IC.BUS.EASE.DFRN.XQ.DB1719,Global: Ease of doing business score (DB17-20 methodology),66.9796,https://api.worldbank.org/v2/country/VNM/indicator/IC.BUS.EASE.DFRN.XQ.DB1719?format=json&date=2016:2023&per_page=20000&source=1
VNM,Vietnam,2018,IC.BUS.EASE.DFRN.XQ.DB1719,Global: Ease of doing business score (DB17-20 methodology),68.56869,https://api.worldbank.org/v2/country/VNM/indicator/IC.BUS.EASE.DFRN.XQ.DB1719?format=json&date=2016:2023&per_page=20000&source=1
VNM,Vietnam,2019,IC.BUS.EASE.DFRN.XQ.DB1719,Global: Ease of doing business score (DB17-20 methodology),69.76594,https://api.worldbank.org/v2/country/VNM/indicator/IC.BUS.EASE.DFRN.XQ.DB1719?format=json&date=2016:2023&per_page=20000&source=1
VNM,Vietnam,2016,IC.BUS.EASE.XQ,Rank: Ease of doing business index (1=most business-friendly regulations),,https://api.worldbank.org/v2/country/VNM/indicator/IC.BUS.EASE.XQ?format=json&date=2016:2023&per_page=20000&source=1
VNM,Vietnam,2017,IC.BUS.EASE.XQ,Rank: Ease of doing business index (1=most business-friendly regulations),,https://api.worldbank.org/v2/country/VNM/indicator/IC.BUS.EASE.XQ?format=json&date=2016:2023&per_page=20000&source=1
VNM,Vietnam,2018,IC.BUS.EASE.XQ,Rank: Ease of doing business index (1=most business-friendly regulations),,https://api.worldbank.org/v2/country/VNM/indicator/IC.BUS.EASE.XQ?format=json&date=2016:2023&per_page=20000&source=1
VNM,Vietnam,2019,IC.BUS.EASE.XQ,Rank: Ease of doing business index (1=most business-friendly regulations),70,https://api.worldbank.org/v2/country/VNM/indicator/IC.BUS.EASE.XQ?format=json&date=2016:2023&per_page=20000&source=1
