country_or_region_code,country_or_region,year,indicator,value_percent,source,source_url,note
1700,Republic of Uzbekistan,2010,Share of foreign investments and loans in investments in fixed assets,26.4,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1700,Republic of Uzbekistan,2011,Share of foreign investments and loans in investments in fixed assets,19.8,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1700,Republic of Uzbekistan,2012,Share of foreign investments and loans in investments in fixed assets,19.0,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1700,Republic of Uzbekistan,2013,Share of foreign investments and loans in investments in fixed assets,18.1,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1700,Republic of Uzbekistan,2014,Share of foreign investments and loans in investments in fixed assets,18.5,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1700,Republic of Uzbekistan,2015,Share of foreign investments and loans in investments in fixed assets,18.5,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1700,Republic of Uzbekistan,2016,Share of foreign investments and loans in investments in fixed assets,20.7,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1700,Republic of Uzbekistan,2017,Share of foreign investments and loans in investments in fixed assets,23.8,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1700,Republic of Uzbekistan,2018,Share of foreign investments and loans in investments in fixed assets,24.3,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1700,Republic of Uzbekistan,2019,Share of foreign investments and loans in investments in fixed assets,43.6,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
