country_code,country,year,indicator_code,indicator,value,source_url
UZB,Uzbekistan,2010,NV.IND.MANF.ZS,"Manufacturing, value added (% of GDP)",10.1811359695823,https://api.worldbank.org/v2/country/UZB/indicator/NV.IND.MANF.ZS?format=json&date=2010:2023&per_page=20000
UZB,Uzbekistan,2011,NV.IND.MANF.ZS,"Manufacturing, value added (% of GDP)",10.2450890019411,https://api.worldbank.org/v2/country/UZB/indicator/NV.IND.MANF.ZS?format=json&date=2010:2023&per_page=20000
UZB,Uzbekistan,2012,NV.IND.MANF.ZS,"Manufacturing, value added (% of GDP)",10.5353690643513,https://api.worldbank.org/v2/country/UZB/indicator/NV.IND.MANF.ZS?format=json&date=2010:2023&per_page=20000
UZB,Uzbekistan,2013,NV.IND.MANF.ZS,"Manufacturing, value added (% of GDP)",11.6145232608903,https://api.worldbank.org/v2/country/UZB/indicator/NV.IND.MANF.ZS?format=json&date=2010:2023&per_page=20000
UZB,Uzbekistan,2014,NV.IND.MANF.ZS,"Manufacturing, value added (% of GDP)",12.6883574975987,https://api.worldbank.org/v2/country/UZB/indicator/NV.IND.MANF.ZS?format=json&date=2010:2023&per_page=20000
UZB,Uzbekistan,2015,NV.IND.MANF.ZS,"Manufacturing, value added (% of GDP)",12.8094689336525,https://api.worldbank.org/v2/country/UZB/indicator/NV.IND.MANF.ZS?format=json&date=2010:2023&per_page=20000
UZB,Uzbekistan,2016,NV.IND.MANF.ZS,"Manufacturing, value added (% of GDP)",13.6540206285506,https://api.worldbank.org/v2/country/UZB/indicator/NV.IND.MANF.ZS?format=json&date=2010:2023&per_page=20000
UZB,Uzbekistan,2017,NV.IND.MANF.ZS,"Manufacturing, value added (% of GDP)",14.0025699748323,https://api.worldbank.org/v2/country/UZB/indicator/NV.IND.MANF.ZS?format=json&date=2010:2023&per_page=20000
UZB,Uzbekistan,2018,NV.IND.MANF.ZS,"Manufacturing, value added (% of GDP)",16.1531607468822,https://api.worldbank.org/v2/country/UZB/indicator/NV.IND.MANF.ZS?format=json&date=2010:2023&per_page=20000
UZB,Uzbekistan,2019,NV.IND.MANF.ZS,"Manufacturing, value added (% of GDP)",17.547885761433,https://api.worldbank.org/v2/country/UZB/indicator/NV.IND.MANF.ZS?format=json&date=2010:2023&per_page=20000
