dataset,country_code,country,year,variable,value,source
economic_complexity,VNM,Vietnam,2010,ECI,-0.26465482918081484,"OEC Economic Complexity Indicators, HS4 REV. 1992"
economic_complexity,VNM,Vietnam,2011,ECI,-0.19352657228094844,"OEC Economic Complexity Indicators, HS4 REV. 1992"
economic_complexity,VNM,Vietnam,2012,ECI,-0.12807561609566276,"OEC Economic Complexity Indicators, HS4 REV. 1992"
economic_complexity,VNM,Vietnam,2013,ECI,-0.15178822729450464,"OEC Economic Complexity Indicators, HS4 REV. 1992"
economic_complexity,VNM,Vietnam,2014,ECI,-0.05039937555088914,"OEC Economic Complexity Indicators, HS4 REV. 1992"
economic_complexity,VNM,Vietnam,2015,ECI,0.0621385302038857,"OEC Economic Complexity Indicators, HS4 REV. 1992"
economic_complexity,VNM,Vietnam,2016,ECI,0.014006345141303207,"OEC Economic Complexity Indicators, HS4 REV. 1992"
economic_complexity,VNM,Vietnam,2017,ECI,0.0030552913260753654,"OEC Economic Complexity Indicators, HS4 REV. 1992"
economic_complexity,VNM,Vietnam,2018,ECI,0.041656741277306814,"OEC Economic Complexity Indicators, HS4 REV. 1992"
economic_complexity,VNM,Vietnam,2019,ECI,0.09252425618409484,"OEC Economic Complexity Indicators, HS4 REV. 1992"
economic_complexity,VNM,Vietnam,2020,ECI,0.18742724237599695,"OEC Economic Complexity Indicators, HS4 REV. 1992"
economic_complexity,VNM,Vietnam,2021,ECI,0.2911477593987269,"OEC Economic Complexity Indicators, HS4 REV. 1992"
economic_complexity,VNM,Vietnam,2022,ECI,0.3038242853058165,"OEC Economic Complexity Indicators, HS4 REV. 1992"
economic_complexity,VNM,Vietnam,2023,ECI,0.3089636949380501,"OEC Economic Complexity Indicators, HS4 REV. 1992"
exports_by_hs_section,VNM,Vietnam,2010,Animal Hides,1433126801.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2010,Animal Products,4074008925.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2010,Animal and Vegetable Bi-Products,106879468.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2010,Arts and Antiques,3565433.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2010,Chemical Products,1393296442.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2010,Foodstuffs,2016480431.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2010,Footwear and Headwear,8252665121.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2010,Instruments,842683745.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2010,Machines,13308354568.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2010,Metals,3172090738.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2010,Mineral Products,8895795298.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2010,Miscellaneous,5035659806.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2010,Paper Goods,432793423.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2010,Plastics and Rubbers,3208026730.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2010,Precious Metals,1344460605.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2010,Stone And Glass,952334918.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2010,Textiles,15044773486.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2010,Transportation,1570360621.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2010,Vegetable Products,7774683724.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2010,Weapons,838934.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2010,Wood Products,1212996408.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2011,Animal Hides,1858124967.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2011,Animal Products,4879422499.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2011,Animal and Vegetable Bi-Products,208562691.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2011,Arts and Antiques,4726924.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2011,Chemical Products,2093501742.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2011,Foodstuffs,2641093856.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2011,Footwear and Headwear,9791777489.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2011,Instruments,1042504730.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2011,Machines,21327836445.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2011,Metals,4431628867.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2011,Mineral Products,11392627561.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2011,Miscellaneous,5306470195.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2011,Paper Goods,471879038.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2011,Plastics and Rubbers,4228686840.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2011,Precious Metals,1307101981.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2011,Stone And Glass,1047198769.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2011,Textiles,18713575441.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2011,Transportation,1947320042.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2011,Vegetable Products,9454305985.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2011,Weapons,1713298.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2011,Wood Products,1823931659.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2012,Animal Hides,2124046347.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2012,Animal Products,4799492703.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2012,Animal and Vegetable Bi-Products,316667998.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2012,Arts and Antiques,4434415.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2012,Chemical Products,2326005264.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2012,Foodstuffs,2813136286.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2012,Footwear and Headwear,10632689273.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2012,Instruments,1255715493.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2012,Machines,39803830675.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2012,Metals,4799153669.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2012,Mineral Products,12676655537.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2012,Miscellaneous,6120411433.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2012,Paper Goods,591290805.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2012,Plastics and Rubbers,5139582328.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2012,Precious Metals,548469897.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2012,Stone And Glass,1288760350.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2012,Textiles,20035160413.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2012,Transportation,2215217219.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2012,Vegetable Products,10877835205.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2012,Weapons,2076240.0000000002,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2012,Wood Products,1948094568.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2013,Animal Hides,2577101075.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2013,Animal Products,4922505975.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
