country,iso2c,iso3c,year,status,lastupdated,mfg_va,fdi_pct_gdp,gdp_pc,trade_open,gfcf,lpi,edu_enroll,region,capital,longitude,latitude,income,lending
China,CN,CHN,2000,,2026-04-08,NA,3.43984725315719,969.199513696287,39.0109424774998,32.6471790154044,NA,7.57777976989746,East Asia & Pacific,Beijing,116.286,40.0495,Upper middle income,IBRD
China,CN,CHN,2001,,2026-04-08,NA,3.47245235578959,1065.40597574519,38.0826469518334,33.4598817910203,NA,9.28069019317627,East Asia & Pacific,Beijing,116.286,40.0495,Upper middle income,IBRD
China,CN,CHN,2002,,2026-04-08,NA,3.56241418263928,1163.55957673426,42.1944423387413,34.9878641071948,NA,11.8050804138184,East Asia & Pacific,Beijing,116.286,40.0495,Upper middle income,IBRD
China,CN,CHN,2003,,2026-04-08,NA,3.43849537731211,1306.97245408557,51.0774801301803,38.0846809344133,NA,14.513970375061,East Asia & Pacific,Beijing,116.286,40.0495,Upper middle income,IBRD
China,CN,CHN,2004,,2026-04-08,31.5101594673259,3.43299015092913,1530.92726215723,58.640334040843904,39.3505370582361,NA,16.9004402160644,East Asia & Pacific,Beijing,116.286,40.0495,Upper middle income,IBRD
China,CN,CHN,2005,,2026-04-08,31.6564574964127,4.49218509012467,1777.64496828464,61.3600749408237,39.2703289759488,NA,18.6565208435059,East Asia & Pacific,Beijing,116.286,40.0495,Upper middle income,IBRD
China,CN,CHN,2006,,2026-04-08,31.9945213596647,4.44499743873593,2129.25696999613,63.5695798621627,38.5215726233992,NA,20.5667705535889,East Asia & Pacific,Beijing,116.286,40.0495,Upper middle income,IBRD
China,CN,CHN,2007,,2026-04-08,31.9005932714931,4.33537500236917,2734.72709877693,61.2664640006176,37.6709873123357,3.32,21.4715595245361,East Asia & Pacific,Beijing,116.286,40.0495,Upper middle income,IBRD
China,CN,CHN,2008,,2026-04-08,31.6169791482305,3.67520717506325,3523.44302065213,56.7111330003209,38.8030814219879,NA,21.8667392730713,East Asia & Pacific,Beijing,116.286,40.0495,Upper middle income,IBRD
China,CN,CHN,2009,,2026-04-08,31.0611528606438,2.52538984334254,3898.24459158811,44.4197644331119,43.4097668520056,NA,23.2886295318604,East Asia & Pacific,Beijing,116.286,40.0495,Upper middle income,IBRD
