year,partner,total_imports_usd,intermediate_imports_usd,share_intermediate
2010,China,1179775779,825533787,0.6997378668849583
2010,Japan,76813939,71262204,0.9277249015963105
2010,South Korea,1438539311,1326119373,0.921851327148056
2011,China,1358863803,1020194417,0.7507701763397402
2011,Japan,238001803,230266536,0.96749912436587715
2011,South Korea,1718712047,1580049446,0.9193217960844374
2012,China,1783030724,1415270952,0.7937445681390288
2012,Japan,97032030,92121126,0.9493888358308076
2012,South Korea,1766429732,1624196609,0.919479886222839
2013,China,2613188548,2056451387,0.7869510175888005
2013,Japan,117284831,108972197,0.9291243894958591
2013,South Korea,1967961018,1795541625,0.9123867843809089
2014,China,2678213964,1997362426,0.7457814994799273
2014,Japan,165918748,158636279,0.9561082211155547
2014,South Korea,2032665762,1860470638,0.9152860606897948
2015,China,2228760931,1609391134,0.7221012857928637
2015,Japan,248311475,243225440,0.9795175192769484
2015,South Korea,1283959435,1173097985,0.9136565790335892
2016,China,2007151339,1447210468,0.721027079463289
2016,Japan,156977356,154218839,0.9824272935263351
2016,South Korea,927612115,837439146,0.9027902206732175
2017,China,2725557713,2081024612,0.7635224901216392
2017,Japan,197814747,193725908,0.9793299586506561
2017,South Korea,1210153018,1082049210,0.8941424711630972
2018,China,3615217059,2855250075,0.789786623708228
2018,Japan,850334613,846928032,0.9959938347235079
2018,South Korea,2052853967.9999998,1867463234,0.9096912216407593
2019,China,5056741458,4120303953,0.8148140432375651
2019,Japan,449851128,445387772,0.9900781486981177
2019,South Korea,2545158714,2207200371,0.8672152187834051
2020,China,4571524898,3662115488,0.8010708832849498
2020,Japan,249720410,242565440,0.9713480768352094
2020,South Korea,2244922292,1991482477,0.8871053060931519
2021,China,5051445052,3789426779,0.7501668809600663
2021,Japan,246548996,239803077,0.9726386271716961
2021,South Korea,1831769681,1675718136,0.9148083153582888
2022,China,6671800565,5157159339,0.7729786417858849
2022,Japan,240329319,233059526,0.9697507027846236
2022,South Korea,2195187484,2027771706,0.923735089043538
2023,China,11926799340,10105037184,0.8472547324670594
2023,Japan,314924200,306910559,0.9745537465840987
2023,South Korea,2394985434,2159474726,0.9016650770995879
