year,manuf_va_pct_gdp,trade_open_pct_gdp,eci,trade_openness_idx,label
2010,10.1811359695823,49.2689977994484,-0.6136719913260592,100,2010
2011,10.2450890019411,49.6542884929351,-0.6293805455712516,100.78201447298571,
2012,10.5353690643513,44.2393191333204,-0.6712767781920418,89.79139237497478,
2013,11.6145232608903,42.3779149727359,-0.6343687785373864,86.01334889180626,
2014,12.6883574975987,36.3570546649043,-0.4762992565837009,73.79296573658199,
2015,12.8094689336525,30.7561914307089,-0.37916766625736537,62.42503968906231,
2016,13.6540206285506,29.1922970388042,-0.4315560575101018,59.25084402494387,2016
2017,14.0025699748323,42.5595081895217,-0.39553928431988017,86.38192390834097,"2017
(Reform)"
2018,16.1531607468822,64.1381394985773,-0.3897858792604736,130.17950915026603,
2019,17.547885761433,64.9639227632407,-0.5093715032316344,131.85557990783408,
2020,19.1278574156415,56.0515308349971,-0.5103417371105385,113.76633042782258,
2021,19.470717302152,57.4589716973222,-0.3608299772769047,116.62297644293768,
2022,19.0715817765466,62.8412525378517,-0.1946026547310446,127.54725150621036,
2023,19.3636989151573,66.1051443040339,-0.11739229457589528,134.17188750848507,2023
