year,manuf_va_gdp,fdi_gdp,lpi_score,trade_openness,total_ne_imports_usd,intermediate_ne_imports_usd,interm_share,post_2017,time_trend,fdi_lag1,fdi_lag2
2010,10.1811359695823,3.34115466012917,2.79,49.2689977994484,2695129029,2222915364,0.8247899599911882,0,0,NA,NA
2011,10.2450890019411,2.68375111593279,NA,49.6542884929351,3315577653,2830510399,0.8537005298123235,0,1,3.34115466012917,NA
2012,10.5353690643513,1.10230120247607,2.46,44.2393191333204,3646492486,3131588687,0.8587947730656588,0,2,2.68375111593279,3.34115466012917
2013,11.6145232608903,0.945033981533171,NA,42.3779149727359,4698434397,3960965209,0.8430393774422217,0,3,1.10230120247607,2.68375111593279
2014,12.6883574975987,1.00027476951682,2.39477,36.3570546649043,4876798474,4016469343,0.8235873113095138,0,4,0.945033981533171,1.10230120247607
2015,12.8094689336525,1.20794015152469,NA,30.7561914307089,3761031841,3025714559,0.804490545923033,0,5,1.00027476951682,0.945033981533171
2016,13.6540206285506,1.93048466413592,2.404525,29.1922970388042,3091740810,2438868453,0.7888334122678284,0,6,1.20794015152469,1.00027476951682
2017,14.0025699748323,2.57993736270607,NA,42.5595081895217,4133525478,3356799730,0.8120912155655038,1,7,1.93048466413592,1.20794015152469
2018,16.1531607468822,1.06427628704368,2.58,64.1381394985773,6518405640,5569641341,0.8544484109460853,1,8,2.57993736270607,1.93048466413592
2019,17.547885761433,3.44235052410005,NA,64.9639227632407,8051751300,6772892096,0.8411700565068372,1,9,1.06427628704368,2.57993736270607
2020,19.1278574156415,2.60108803608825,NA,56.0515308349971,7066167600,5896163405,0.834421675053391,1,10,3.44235052410005,1.06427628704368
2021,19.470717302152,2.94839500995796,NA,57.4589716973222,7129763729,5704947992,0.8001594735594638,1,11,2.60108803608825,3.44235052410005
2022,19.0715817765466,2.94947448385164,2.6,62.8412525378517,9107317368,7417990571,0.8145088472555357,1,12,2.94839500995796,2.60108803608825
2023,19.3636989151573,2.10084902446518,NA,66.1051443040339,14636708974,12571422469,0.8588967978615492,1,13,2.94947448385164,2.94839500995796
