year,partner,exports_usd,imports_usd,trade_balance_usd,total_trade_usd
2010,China,1300780404,1179775779,121004625,2480556183
2011,China,807314965,1358863803,-551548838,2166178768
2012,China,1091832887,1783030724,-691197837,2874863611
2013,China,1938092728,2613188548,-675095820,4551281276
2014,China,1597024756,2678213964,-1081189208,4275238720
2015,China,1267061537,2228760931,-961699394,3495822468
2016,China,1607020048,2007151339,-400131291,3614171387
2017,China,1447773786,2725557713,-1277783927,4173331499
2018,China,2245521204,3615217059,-1369695855,5860738263
2019,China,1914242808,5056741458,-3142498650,6970984266
2020,China,1295230583,4571524898,-3276294315,5866755481
2021,China,1940804098,5051445052,-3110640954,6992249150
2022,China,1983072002,6671800565,-4688728563,8654872567
2023,China,1817655946,11926799340,-10109143394,13744455286
2010,Japan,173427329,76813939,96613390,250241268
2011,Japan,48307105.99999999,238001803,-189694697,286308909
2012,Japan,106883916,97032030,9851886,203915946
2013,Japan,100392548,117284831,-16892283,217677379
2014,Japan,24521069,165918748,-141397679,190439817
2015,Japan,2685526,248311475,-245625949,250997001
2016,Japan,2414168,156977356,-154563188,159391524
2017,Japan,2081882,197814747,-195732865,199896629
2018,Japan,6696577,850334613,-843638036,857031190
2019,Japan,4472739,449851128,-445378389,454323867
2020,Japan,6599233,249720410,-243121177,256319643
2021,Japan,8274121,246548996,-238274875,254823117
2022,Japan,47193933,240329319,-193135386,287523252
2023,Japan,21015416,314924200,-293908784,335939616
2010,South Korea,21978514,1438539311,-1416560797,1460517825
2011,South Korea,39822366,1718712047,-1678889681,1758534413
2012,South Korea,42361647,1766429732,-1724068085,1808791379
2013,South Korea,53094894,1967961018,-1914866124,2021055912
2014,South Korea,27360791,2032665762,-2005304971,2060026553
2015,South Korea,16137750,1283959435,-1267821685,1300097185
2016,South Korea,20777199,927612115,-906834916,948389314
2017,South Korea,46669134,1210153018,-1163483884,1256822152
2018,South Korea,36034977,2052853968,-2016818991,2088888945
2019,South Korea,20226887,2545158714,-2524931827,2565385601
2020,South Korea,30403878,2244922292,-2214518414,2275326170
2021,South Korea,30560717,1831769681,-1801208964,1862330398
2022,South Korea,31543014,2195187484,-2163644470,2226730498
2023,South Korea,99265953.99999999,2394985434,-2295719480,2494251388
